L-B/CNCE-W,COCKTAIL NAPKIN WHITE ,$17.50,$17.68,1000,,$17.68,1000,
L-B/CNCE-N,COCKTAIL NAPKIN NATURAL,$17.50,$17.68,1000,,$17.68,1000,
L-B/CNCE-B,COCKTAIL NAPKIN BLACK,$37.50,$37.88,1000,,$37.88,1000,
L-LN1/8-1PW,NAPKIN LUNCH WHITE 1/8 1 PLY,$21.00,$21.21,3000,,$21.21,3000,
L-CDN-N,NAPKIN 1PLY DISPENSER NUTURAL,$24.55,$24.80,5000,,$24.80,5000,
L-CDN-W,NAPKIN 1PLY DISPENSER WHITE,$24.55,$24.80,5000,,$24.80,5000,
L-SSDN-W,BIO DISPENSER NAPKIN WHITE,$52.85,$53.38,6000,,$53.38,6000,
,,,,,,,,
IE-HTC2,U/SLIM HAND TOWELS 23X24CM SMALL,$23.25,$23.48,2400,,$23.48,2400,
IE-HTU2,U/SLIM HAND TOWELS 23X24CM LARGE,$23.50,$23.74,2400,,$23.74,2400,
IE-JR300,JUMBO TOILET ROLL 2PLY 300M CT,$24.50,$24.75,8,,$24.75,8,
RT80-W,DELUXE 80M ROLL TOWEL WHITE,$30.55,$30.86,16,,$30.86,16,
IE-CT300R,300MM CENTRE FEED ROLL,$36.05,$36.41,8,,$36.41,8,
IE-TR400-Q,TOILET TISSUE 2PLY 400 SHTS CT,$23.85,$24.09,48,,$24.09,48,
225CW,TOILET TISSUE 3PLY 400 SHTS CT,$40.50,$40.91,48,,$40.91,48,
2024CW,FACIAL TISSUES 2PLY 200SHTS CT,$39.00,$39.39,48,,$39.39,48,
,,,,,,,,
DIS1005,HAND TOWEL DISPENSER ,$39.50,$39.90,1,,$39.90,1,
,,,,,,,,
ETF6X6,CLAMSHELL 6X6,$59.00,$59.60,500,,$5.96,50,
ETF9X6,9 X 6 CLAMSHELL,$48.95,$49.44,250,,$9.89,50,
,,,,,,,,
CS-06-NEW,"CLAMSHELL 6""  BURGER",$49.75,$50.25,500,,$5.03,50,
CS-963-NEW,SUGARCANE CLAM 9X6x3,$32.95,$33.28,250,,$6.66,50,
CS-08-NEW,"CLAMSHELL  8""",$32.50,$32.83,200,,$8.21,50,
CS-08-3-NEW,"CLAMSHELL 8"" 3",$32.50,$32.83,200,,$8.21,50,
CS-09-NEW,"CLAMSHELL 9""",$39.00,$39.39,200,,$9.85,50,
CS-09-3-NEW,"CLAMSHELL 9"" 3",$39.00,$39.39,200,,$9.85,50,
,,,,,,,,
BW-08,BOWL SUGARCANE 8OZ,$30.80,$31.11,1000,,$1.56,50,
BW-12,BOWL SUGARCANE 12OZ,$27.70,$27.98,600,,$2.33,50,
BW-16,BOWL SUGARCANE 16OZ,$31.90,$32.22,600,,$2.69,50,
,,,,,,,,
RP-07,"7"" ROUND PLATE",$33.50,$33.84,800,,$2.11,50,
RP-10-1,"10"" ROUND PLATE 3 COMPARTMENT",$42.50,$42.93,500,,$4.29,50,
,,,,,,,,
1FB,BROWN FLAT BAG 170 X 140,$12.95,$13.08,1000,,$13.08,1000,
2FB,BROWN FLAT BAG 240 X 165,$10.50,$10.61,500,,$10.61,500,
3FB,BROWN FLAT BAG 235 X 200,$10.50,$10.61,500,,$10.61,500,
4FB,BROWN FLAT BAG 280 X 235,$17.25,$17.42,500,,$17.42,500,
8FB,BROWN FLAT BAG 335 X 235,$19.45,$19.65,500,,$19.65,500,
,,,,,,,,
A361S0001,FLAT BAG #75 WHITE 212 X 175,$21.35,$21.57,1000,,$21.57,1000,
A226S0001,FLAT BAG #2 WHITE 238 X 241,$14.45,$14.60,500,,$14.60,500,
,,,,,,,,
B186S0010,SAT #4 BR BROWN BAHMI BAG,$15.65,$15.81,500,,$15.81,500,
,,,,,,,,
1W,FLAT WHITE BAG ,$7.25,$7.32,500,,$7.32,500,
1/2L,FLAT WHITE BAG ,$10.75,$10.86,500,,$10.86,500,
2F,FLAT WHITE BAG 240 x 165,$8.25,$8.33,500,,$8.33,500,
3F,FLAT WHITE BAG 235 x 200,$9.85,$9.95,500,,$9.95,500,
,,,,,,,,
FB2,SMALL WHITE FOIL CHICKEN BAG,$16.95,$17.12,250,,$17.12,250,
FB4,LARGE WHITE FOIL CHICKEN BAG,$22.75,$22.98,250,,$22.98,250,
FB6,JUMBO WHITE FOIL CHICKEN BAG,$26.50,$26.77,250,,$26.77,250,
FBKU,WHITE FOIL KEBAB BAG,$16.25,$16.41,250,,$16.41,250,
